date,time,lat,lon,depth,ML,nstn,dmin,gap,trms,ERH,ERZ,fixed,nph,quality
2023-03-22,15:43:05,23.6478,121.3135,6.47,4.78,99,10.7,66,0.33,0.1,0.3,F,338,C
2023-03-22,21:51:04,23.658,121.2972,7.82,4.72,99,11.2,57,0.29,0.1,0.2,F,345,B
2023-03-24,10:04:19,23.648,121.3175,6.71,4.36,99,10.4,67,0.4,0.1,0.3,F,289,C
2023-03-25,1:05:28,24.625,121.5895,60.46,4.12,99,2.1,44,0.29,0.2,0.2,F,246,B
2023-03-26,4:43:52,21.4985,121.291,41.65,4.92,99,23.1,174,0.38,0.1,0.2,F,224,C
2023-03-27,2:13:57,24.0193,122.424,24.61,4.25,99,15.7,142,0.41,0.2,0.1,F,230,C
2023-03-29,10:06:09,22.7117,120.6725,25.84,4.05,99,2.9,33,0.32,0.1,0.1,F,231,B
2023-03-30,3:46:35,24.5072,122.6732,86.51,4.67,99,33.8,91,0.25,0.2,0.1,F,274,B
2023-03-30,6:26:23,23.7895,121.408,58.16,4,99,4.2,38,0.29,0.2,0.2,F,275,B
2023-03-30,20:15:49,21.8818,121.5877,20.18,4.29,89,13.3,131,0.59,0.4,0.4,F,106,C
2023-03-31,17:15:27,24.9162,122.8355,124.91,4.4,99,52.4,202,0.36,0.3,0.3,F,297,D
2023-03-31,20:00:52,22.873,120.6442,16.6,4.31,99,13.3,22,0.36,0.1,0.1,F,274,B
2023-03-31,20:02:18,24.4323,120.9563,1.82,4.43,99,17.2,22,0.41,0.1,0.1,F,289,C
2023-04-04,16:34:28,23.9275,121.4633,19.86,4.23,99,5.2,46,0.3,0.1,0.1,F,324,B
2023-04-05,18:09:14,23.2958,121.4367,25.9,4.41,99,2.7,95,0.31,0.1,0.1,F,299,C
2023-04-06,22:18:05,21.1473,122.0963,165.84,4.63,91,72.5,289,0.47,0.9,0.6,F,155,D
2023-04-07,10:36:31,23.1968,121.3577,17.11,4.73,99,6.5,70,0.37,0.1,0.1,F,279,B
2023-04-08,8:36:52,23.2692,120.9708,5.08,4.04,99,2.8,19,0.33,0.1,0.1,F,257,B
2023-04-08,11:22:02,24.2997,121.8083,12.72,4.11,99,6.1,78,0.31,0.1,0.1,F,254,B
2023-04-08,12:14:50,23.439,121.4392,31.74,4.76,99,6.1,69,0.32,0.2,0.1,F,317,B
2023-04-09,5:13:13,21.3058,121.242,48.98,4.82,99,36.8,211,0.43,0.8,0.7,F,243,D
2023-04-09,5:19:09,24.636,121.535,62.59,4.69,99,3.9,18,0.24,0.2,0.2,F,341,B
2023-04-09,17:35:19,23.7437,121.404,19.69,4.06,99,3.4,57,0.3,0.1,0.1,F,293,B
2023-04-09,18:45:38,24.3178,122.929,43.52,5.26,99,18.3,129,0.35,0.2,0.1,F,304,C
2023-04-10,10:14:46,24.7475,122.329,96.6,4.09,99,40.5,144,0.36,0.3,0.2,F,318,C
2023-04-14,3:54:02,22.7907,121.1602,6.31,4.22,99,4.3,48,0.45,0.1,0.2,F,169,B
2023-04-16,3:26:57,23.743,121.3963,20.01,4.3,99,3,56,0.3,0.1,0.1,F,315,B
2023-04-16,19:17:34,22.7537,120.9145,7.84,4.2,99,18.1,26,0.3,0.1,0.3,F,259,C
2023-04-17,8:49:05,24.3678,121.6703,23.02,4.7,99,4.5,25,0.23,0.1,0.1,F,289,B
2023-04-17,19:33:53,24.3555,121.9027,42,4.74,99,16.1,64,0.44,0.2,0.1,F,326,B
2023-04-18,1:23:31,24.0232,122.6643,32.57,4.27,99,37,153,0.53,0.2,0.2,F,242,D
2023-04-21,11:44:44,23.4977,121.5055,28.95,4.62,99,8.3,78,0.29,0.1,0.1,F,321,B
